place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Datz Deli,4,"I love food and of course , me being absolutely in love with oxtail , had to try this oxtail beef patty with Mac & Cheese . From the moment I took my first bite, I knew I was in for a treat ! The oxtail was cooked to perfectly with the meat so tender it practically melted in my mouth. The flavors were rich and savory, with a depth that can only come from slow-cooking but the beef patty is the heart of what holds this beautiful concoction together. The curry goat MORE equally impressive( Called the Drake) The meat was incredibly tender, and the curry sauce had just the right amount of heat and spice was so savory ( best I will get the dish with rice and peas) !!!The flavors were well-balanced, also combined with Max & Cheese and sauce that had a perfect blend of aromatic spices that created a joy for my mouth! I m short I loved both patty sandwiches but the curry goat was my favorite and next time I can do it with just cheese and no Mac and cheese ! I love the touch of the sweet plantain on the top and that the store is full of different/imported chips , snacks and drinks ; making even more unique of a deli !",2024,love food absolut love oxtail oxtail beef patti mac chees moment bite knew treat oxtail cook perfectli meat tender practic melt mouth flavor rich savori depth slow cook beef patti heart hold beauti concoct curri goat equal impress call drake meat incred tender curri sauc amount heat spice savori dish rice pea flavor balanc combin max chees sauc perfect blend aromat spice creat joy mouth short love patti sandwich curri goat favorit time chees mac chees love touch sweet plantain top store full import chip snack drink make uniqu deli,1,0.9901
Datz Deli,5,,2024,,1,0.0
Datz Deli,4,,2024,,1,0.0
Datz Deli,5,"Listen, I found this place via an influencers post. I watched and read several post the same day then rode 2 plus hours from CT to get that You know why Im here sandwich! Fun fact, most of the crew was in CT at the Mohegan Sun for the Wine and Food festival! Lol. Its was still worth the ride! Delicious!    @datzdeli190",2024,listen found place influenc post watch read post day rode hour ct im sandwich fun fact crew ct mohegan sun wine food festiv lol worth ride delici datzd,1,0.7906
Datz Deli,4,,2024,,1,0.0
Datz Deli,3,Its definitely not worth the price. I will not be coming back.,2024,worth price come back,0,0.2263
Datz Deli,5,Absolutely amazing! This will be the spot I put all of my friends and coworkers on to !,2024,absolut amaz spot put friend cowork,1,0.4939
Datz Deli,5,,2024,,1,0.0
Datz Deli,4,,2024,,1,0.0
Datz Deli,3,"It wasnt hot at all. Being so busy they rushed out to quickly. Not 100% organized on waiting on line. Very limited to amount that can be purchased. Aside from that and no seating,  it wasnt bad. Not available everywhere. More like ok try it but once or maybe if in the area twice is enough.",2024,wasnt hot busi rush quickli organ wait line limit amount purchas seat wasnt bad area,0,0.431
Datz Deli,5,"NYC has another gem of Caribbean cuisine that brings creativity from Guyanese roots. How simple it is to enhance the taste buds from a Jamaican beef patty and cocoa bread with the favorites we love from oxtail, jerk chicken, curry chicken, curry shrimp, etc. Just genius.",2024,nyc gem caribbean cuisin bring creativ guyanes root simpl enhanc tast bud jamaican beef patti cocoa bread favorit love oxtail jerk chicken curri chicken curri shrimp geniu,1,0.4215
Datz Deli,3,,2024,,0,0.0
