place_id,name,link,main_category,categories,rating,reviews,address
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,https://www.google.com/maps/place/Datz+Deli/data=!4m7!3m6!1s0x89c2615718e7c617:0xdd3741e3b47e6963!8m2!3d40.7096085!4d-73.7675778!16s%2Fg%2F11scvcgmyz!19sChIJF8bnGFdhwokRY2l-tONBN90?authuser=0&hl=en&rclk=1,Deli,Deli,4.1,471,"Datz Deli, 190-01 Hollis Ave, Queens, NY 11423"
ChIJN92pT9JZwokRIgmId6tfH5U,Datz Deli,https://www.google.com/maps/place/Datz+Deli/data=!4m7!3m6!1s0x89c259d24fa9dd37:0x951f5fab77880922!8m2!3d40.7193634!4d-73.985112!16s%2Fg%2F11y1n3s6v7!19sChIJN92pT9JZwokRIgmId6tfH5U?authuser=0&hl=en&rclk=1,Deli,"Deli, Cafeteria, Caribbean restaurant, Fast food restaurant, Sandwich shop",4.9,217,"Datz Deli, 69 Clinton St, New York, NY 10002"
