place_id,name,link,main_category,categories,rating,reviews,address
ChIJo57dmJFZwokRBm37jca0gak,Springbone Kitchen,https://www.google.com/maps/place/Springbone+Kitchen/data=!4m7!3m6!1s0x89c2599198dd9ea3:0xa981b4c68dfb6d06!8m2!3d40.729918!4d-73.9992476!16s%2Fg%2F11cnblh2__!19sChIJo57dmJFZwokRBm37jca0gak?authuser=0&hl=en&rclk=1,Health food restaurant,"Health food restaurant, Brunch restaurant, Gluten-free restaurant, Organic restaurant, Restaurant",4.4,392,"Springbone Kitchen, 90 W 3rd St, New York, NY 10012"
ChIJNSszk7tbwokRoYfgkLSL9bc,Springbone Kitchen,https://www.google.com/maps/place/Springbone+Kitchen/data=!4m7!3m6!1s0x89c25bbb93332b35:0xb7f58bb490e087a1!8m2!3d40.7037389!4d-74.0104776!16s%2Fg%2F11h3ll3y8s!19sChIJNSszk7tbwokRoYfgkLSL9bc?authuser=0&hl=en&rclk=1,Health food restaurant,Health food restaurant,4.4,137,"Springbone Kitchen, 74 Pearl St, New York, NY 10004"
ChIJqxo760dZwokRyZKVbhjAmkU,Springbone Kitchen,https://www.google.com/maps/place/Springbone+Kitchen/data=!4m7!3m6!1s0x89c25947eb3b1aab:0x459ac0186e9592c9!8m2!3d40.7587081!4d-73.9752433!16s%2Fg%2F11tjpg1762!19sChIJqxo760dZwokRyZKVbhjAmkU?authuser=0&hl=en&rclk=1,Restaurant,Restaurant,4.7,99,"Springbone Kitchen, 25 E 51st St, New York, NY 10022"
ChIJIdIK_DJZwokRImC6xolwWOM,Springbone Kitchen,https://www.google.com/maps/place/Springbone+Kitchen/data=!4m7!3m6!1s0x89c25932fc0ad221:0xe3587089c6ba6022!8m2!3d40.7142205!4d-73.9612903!16s%2Fg%2F11n_3lq_wk!19sChIJIdIK_DJZwokRImC6xolwWOM?authuser=0&hl=en&rclk=1,Health food restaurant,"Health food restaurant, Brunch restaurant, Gluten-free restaurant, Organic restaurant",4.3,75,"Springbone Kitchen, 277 Bedford Ave, Brooklyn, NY 11211"
ChIJvfs3ky6tw4kRwfv6e-gEoyg,Springbone Kitchen,https://www.google.com/maps/place/Springbone+Kitchen/data=!4m7!3m6!1s0x89c3ad2e9337fbbd:0x28a304e87bfafbc1!8m2!3d40.7245007!4d-74.3060921!16s%2Fg%2F11rvft19zk!19sChIJvfs3ky6tw4kRwfv6e-gEoyg?authuser=0&hl=en&rclk=1,Restaurant,Restaurant,4.4,43,"Springbone Kitchen, 321 Millburn Ave, Millburn, NJ 07041"
ChIJ5Tikm9hbwokRl3jLvRthfm4,Springbone Kitchen,https://www.google.com/maps/place/Springbone+Kitchen/data=!4m7!3m6!1s0x89c25bd89ba438e5:0x6e7e611bbdcb7897!8m2!3d40.7008302!4d-73.9883345!16s%2Fg%2F11k553pbfj!19sChIJ5Tikm9hbwokRl3jLvRthfm4?authuser=0&hl=en&rclk=1,Restaurant,"Restaurant, Gluten-free restaurant, Health food restaurant, Soup shop",4.6,22,"Springbone Kitchen, 55 Prospect St, Brooklyn, NY 11201"
ChIJ8ybwb_lbwokRo5AnVfeduG0,Springbone Kitchen,https://www.google.com/maps/place/Springbone+Kitchen/data=!4m7!3m6!1s0x89c25bf96ff026f3:0x6db89df7552790a3!8m2!3d40.7125334!4d-74.0154193!16s%2Fg%2F11sv7y73kp!19sChIJ8ybwb_lbwokRo5AnVfeduG0?authuser=0&hl=en&rclk=1,Health food restaurant,Health food restaurant,4.1,10,"Springbone Kitchen, 225 Liberty St, New York, NY 10080"
